company,overall_rating,sentiment,review,industry
McDonald-s,2,Negative,"Free food, paid holidays, good people Terrible management, constantly busy, favourising",Various
The-Salvation-Army,4,Positive,Helps families with various things. Donations vary per location as a drawback.,Various
HSBC-Holdings,2,Negative,"HSBC has great benefits, casual work environment and being a supervisor I really didn't do that much except babysit. Working odd hours and Saturdays. Senior management does not run the ship, it is run by HSBC overseas, one day I came into work and we had to let go of 15 employees, right after Household and Beneficial closed!  How work friendly is that. No notice to the employees as always.",Various
Citi,4,Positive,"Good Work Life Balance 
Encouraging Team environment
Excellent work culture
Lots of extra curricular activities Not so attractive Pay scale
Not so open to new technologies and ideas",Various
University-College-London,5,Positive,"Good work life balance. Flexibility for work hours, working from home etc. Senior staff care about others. Not many. Perhaps more support for career progession.",Various
Oracle,3,Neutral,"Tons of young people, ability to make lots of money, great sales training Big company... change is slow, no transparency, employees treated as a ""number""",Various
Morgan-Stanley,4,Positive,"Job satisfaction, good legacy, decent technology, at least not merged with Wachovia...thank goodness!  I think John Mack is a good leader, good communicator, and very blunt (which is kind of nice). Lack of control of what happens with the company and it being in the news.  Right now their future as a Morgan Stanley brand is in question due to all the mergers.  Tough to work in this industry when you don't know what is going on (although Mack has tried to keep us informed).",Various
Virgin-Media,2,Negative,"Nice offices, flexible working conditions, Us and them mentality between Permanent and contracted staff. No perks for contract staff, no opportunities to develop. Lack of strong management or coherent  processes. Sexism is ignored by senior management- no female senior management in networking and no inclusion or development of women.",Various
Google,4,Positive,"Plenty of perks: health insurance, free food, swag with logo Employees are at a total mercy from their managers. Impossible to get away from toxic politics.",Various
CBRE,4,Positive,They are an employee-centric corporate culture and offer good benefits. Depending on which contract you work on you might get a good annual bonus. They only give yearly cost of living raises. You need to move to another position in order to get a real raise.,Various
Deloitte,3,Neutral,"Great opportunity to grow, learn. Good enviroment with people keen to work together Being a giant multinational sometimes it does not have flexibility. Career paths are predetermined in most of the cases",Various
Randstad,5,Positive,"Close knit family feel 
Great training 
Result orientated 
Well paid 
Fun and competitive working environment 
Very good name within the construction market Long hours (this is to be expected in a recruitment role)",Various
BDO,4,Positive,"Best of the people to work with who are extremely enthusiastic. time pressure, multiple tasks a day",Various
KPMG,2,Negative,"Brand name, good salary, laptop service Deadlines, long working hours, immense pressure, cheap politice",Various
Deloitte,2,Negative,great career opportunity in terms of leaning too much mental pressure to handle,Various
Deloitte,2,Negative,"There was good fun amongst the intake when we all started. It was good to have many people of a similar age and mindset to start out. Not great to work with after a while, morale took a dive. The salary was quite low as well, even allowing for study leave and exams being paid for.",Various
Department-for-Work-And-Pensions,3,Neutral,"Friendly work culture, Flexible time as well. Deal with death of clients sometimes which can be depressing",Various
The-Church-of-Jesus-Christ-of-Latter-day-Saints,2,Negative,"Worked with good people. Feels good knowing your work means something to somebody. The higher your position, the more self righteous entitlement you think you have. Management can be hard to work with. The work you do really is a good work, but those above you think their work is more important.",Various
Macdonald-Hotels-and-Resorts,3,Neutral,"good team, decent salary, good work experience long hours, not very organized",Various
EY,3,Neutral,Get a chance to explore don't think about recognition if you other than CA,Various
IBM,3,Neutral,"Work life balance, work from home, good career opportunities Middle Management, politics,  salary , company policies,  slow moving",Various
McDonald-s,4,Positive,"Flexible 
Good good on shift 
Good managers More time off
Long hours 
Low salary",Various
Apple,3,Neutral,"Great diversity and great employees, lots of people with a whole range of different interests and passions 

People from all different walks of life Treated like children in terms of autonomous working, sick leave, shifts 

Terrible office space located in a basement with no windows",Various
HSBC-Holdings,3,Neutral,"Paid sick leaves,free Cab facility less perk,growth rate is very less",Various
IBM,4,Positive,Supportive and Lots of things to learn Worked for less time therefore having found any as of then.,Various
IBM,2,Negative,"i have the ability to work at home when needed, good healthcare benefits and reasonably priced for singe people. Good 401K match really bad raises barely got 1% this year, based on what I've seen I should be make 10% more then i am, ZERO opportunity to transfer and advance my career",Various
